Div.,Article,Sebango,Forced
1268,1819173000,1730,X
1268,1819174000,1740,X
1268,1819175000,1750,X
1268,1819176000,1760,X
1268,1819186000,1860,X
1268,1819187000,1870,X
1268,1819190000,1900,X
1268,1819191000,1910,X
1268,1819192000,1920,X
1268,1819193000,1930,X
1268,1819194000,1940,X
1268,1819215000,2150,X
1268,1820009000,0090,X
1268,1820162600,1626,X
1268,1820163000,1630,X
1268,1820163100,1631,X
1268,1820163600,1636,X
1268,1820164600,1646,X
1268,1820165000,1650,X
1268,1820165600,1656,X
1268,1820183600,1836,X
1268,1820192600,1926,X
1268,1820193600,1936,X
1268,1820194032,1940,X
1268,1820276000,2760,X
1268,1820276100,2761,X
1268,1820339600,3396,X
1268,1820339900,3399,X
1268,1820371600,3716,X
1268,1820391900,3919,X
1268,1820392900,3929,X
1268,1820420100,4201,X
1268,1820430000,4300,X
1268,1820430600,4306,X
1268,1820461000,4610,X
1268,1820603000,6030,X
1268,1820604000,6040,X
1268,1820719600,7196,X
1268,1820721600,7216,X
1268,1820725000,7250,X
1268,1820725600,7256,X
1268,1820740070,7400,X
1268,1820761100,7611,X
1268,1820834000,8340,X
1268,1820835000,8350,X
1268,1820843000,8430,X
1268,1820843600,8436,X
1268,1820844000,8440,X
1268,1820844600,8446,X
1268,1820845000,8450,X
1268,1820845600,8456,X
1268,1820847000,8470,X
1268,1820848000,8480,X
1268,1820850000,8500,X
1268,1820862000,8620,X
1268,1820862100,8621,X
1268,1820897000,8970,X
1268,1821028000,0280,X
1268,1821029000,0290,X
1268,1821029600,0296,X
1268,1821030000,0300,X
1268,1821030600,0306,X
1268,1821031000,0310,X
1268,1821069600,0696,X
1268,1823665000,6650,X
1268,1821230900,2309,X
1268,1821248000,2480,X
1268,1821298000,2980,X
1268,1821298900,2989,X
1268,1821299000,2990,X
1268,1821300000,3000,X
1268,1821301900,3019,X
1268,1821302900,3029,X
1268,1821308000,3080,X
1268,1821308600,3086,X
1268,1821309000,3090,X
1268,1821370900,3709,X
1268,1821371000,3710,X
1268,1821371600,3716,X
1268,1821372000,3720,X
1268,1821372600,3726,X
1268,1821373000,3730,X
1268,1821373600,3736,X
1268,1821374000,3740,X
1268,1821374900,3749,X
1268,1821378000,3780,X
1268,1821383000,3830,X
1268,1821387000,3870,X
1268,1821387600,3876,X
